variant_id,variant_file,variant_url,question_id,question_type,slot_count,question_text
canthosimpl_10001,canthosimpl.10001.inp,https://raw.githubusercontent.com/asselapathirana/swmm2026quizes/refs/heads/main/networks/swmm_quiz_batch/variants/canthosimpl.10001.inp,canthosimpl_10001_Q1,one_file_multi_slot_cloze,10,"Download model: https://raw.githubusercontent.com/asselapathirana/swmm2026quizes/refs/heads/main/networks/swmm_quiz_batch/variants/canthosimpl.10001.inp
Run SWMM and answer all 10 parts.
1. What is the maximum water depth in conduit C_463 (m)?
2. What is the maximum water depth in conduit C_462 (m)?
3. What is the maximum water depth in conduit C_412 (m)?
4. What is the peak runoff for subcatchment S_257 (CMS)?
5. What is the peak runoff for subcatchment S_295 (CMS)?
6. What is the peak runoff for subcatchment S_258 (CMS)?
7. What is the area of subcatchment S_258 (hectares)?
8. What is the area of subcatchment S_263 (hectares)?
9. What is the diameter (Geom1 in [XSECTIONS]) of conduit C_412 (m)?
10. What is the diameter (Geom1 in [XSECTIONS]) of conduit C_462 (m)?"
canthosimpl_10002,canthosimpl.10002.inp,https://raw.githubusercontent.com/asselapathirana/swmm2026quizes/refs/heads/main/networks/swmm_quiz_batch/variants/canthosimpl.10002.inp,canthosimpl_10002_Q1,one_file_multi_slot_cloze,10,"Download model: https://raw.githubusercontent.com/asselapathirana/swmm2026quizes/refs/heads/main/networks/swmm_quiz_batch/variants/canthosimpl.10002.inp
Run SWMM and answer all 10 parts.
1. What is the maximum water depth in conduit C_458 (m)?
2. What is the maximum water depth in conduit C_411 (m)?
3. What is the maximum water depth in conduit C_457 (m)?
4. What is the peak runoff for subcatchment S_286 (CMS)?
5. What is the peak runoff for subcatchment S_258 (CMS)?
6. What is the peak runoff for subcatchment S_289 (CMS)?
7. What is the area of subcatchment S_289 (hectares)?
8. What is the area of subcatchment S_263 (hectares)?
9. What is the diameter (Geom1 in [XSECTIONS]) of conduit C_455 (m)?
10. What is the diameter (Geom1 in [XSECTIONS]) of conduit C_462 (m)?"
canthosimpl_10003,canthosimpl.10003.inp,https://raw.githubusercontent.com/asselapathirana/swmm2026quizes/refs/heads/main/networks/swmm_quiz_batch/variants/canthosimpl.10003.inp,canthosimpl_10003_Q1,one_file_multi_slot_cloze,10,"Download model: https://raw.githubusercontent.com/asselapathirana/swmm2026quizes/refs/heads/main/networks/swmm_quiz_batch/variants/canthosimpl.10003.inp
Run SWMM and answer all 10 parts.
1. What is the maximum water depth in conduit C_463 (m)?
2. What is the maximum water depth in conduit C_412 (m)?
3. What is the maximum water depth in conduit C_417 (m)?
4. What is the peak runoff for subcatchment S_289 (CMS)?
5. What is the peak runoff for subcatchment S_295 (CMS)?
6. What is the peak runoff for subcatchment S_288 (CMS)?
7. What is the area of subcatchment S_287 (hectares)?
8. What is the area of subcatchment S_289 (hectares)?
9. What is the diameter (Geom1 in [XSECTIONS]) of conduit C_419 (m)?
10. What is the diameter (Geom1 in [XSECTIONS]) of conduit C_459 (m)?"
canthosimpl_10004,canthosimpl.10004.inp,https://raw.githubusercontent.com/asselapathirana/swmm2026quizes/refs/heads/main/networks/swmm_quiz_batch/variants/canthosimpl.10004.inp,canthosimpl_10004_Q1,one_file_multi_slot_cloze,10,"Download model: https://raw.githubusercontent.com/asselapathirana/swmm2026quizes/refs/heads/main/networks/swmm_quiz_batch/variants/canthosimpl.10004.inp
Run SWMM and answer all 10 parts.
1. What is the maximum water depth in conduit C_502 (m)?
2. What is the maximum water depth in conduit C_412 (m)?
3. What is the maximum water depth in conduit C_457 (m)?
4. What is the peak runoff for subcatchment S_295 (CMS)?
5. What is the peak runoff for subcatchment S_287 (CMS)?
6. What is the peak runoff for subcatchment S_288 (CMS)?
7. What is the area of subcatchment S_259 (hectares)?
8. What is the area of subcatchment S_288 (hectares)?
9. What is the diameter (Geom1 in [XSECTIONS]) of conduit C_418 (m)?
10. What is the diameter (Geom1 in [XSECTIONS]) of conduit C_412 (m)?"
canthosimpl_10005,canthosimpl.10005.inp,https://raw.githubusercontent.com/asselapathirana/swmm2026quizes/refs/heads/main/networks/swmm_quiz_batch/variants/canthosimpl.10005.inp,canthosimpl_10005_Q1,one_file_multi_slot_cloze,10,"Download model: https://raw.githubusercontent.com/asselapathirana/swmm2026quizes/refs/heads/main/networks/swmm_quiz_batch/variants/canthosimpl.10005.inp
Run SWMM and answer all 10 parts.
1. What is the maximum water depth in conduit C_502 (m)?
2. What is the maximum water depth in conduit C_463 (m)?
3. What is the maximum water depth in conduit C_458 (m)?
4. What is the peak runoff for subcatchment S_287 (CMS)?
5. What is the peak runoff for subcatchment S_296 (CMS)?
6. What is the peak runoff for subcatchment S_261 (CMS)?
7. What is the area of subcatchment S_263 (hectares)?
8. What is the area of subcatchment S_296 (hectares)?
9. What is the diameter (Geom1 in [XSECTIONS]) of conduit C_405 (m)?
10. What is the diameter (Geom1 in [XSECTIONS]) of conduit C_410 (m)?"
canthosimpl_10006,canthosimpl.10006.inp,https://raw.githubusercontent.com/asselapathirana/swmm2026quizes/refs/heads/main/networks/swmm_quiz_batch/variants/canthosimpl.10006.inp,canthosimpl_10006_Q1,one_file_multi_slot_cloze,10,"Download model: https://raw.githubusercontent.com/asselapathirana/swmm2026quizes/refs/heads/main/networks/swmm_quiz_batch/variants/canthosimpl.10006.inp
Run SWMM and answer all 10 parts.
1. What is the maximum water depth in conduit C_463 (m)?
2. What is the maximum water depth in conduit C_459 (m)?
3. What is the maximum water depth in conduit C_419 (m)?
4. What is the peak runoff for subcatchment S_296 (CMS)?
5. What is the peak runoff for subcatchment S_257 (CMS)?
6. What is the peak runoff for subcatchment S_263 (CMS)?
7. What is the area of subcatchment S_286 (hectares)?
8. What is the area of subcatchment S_288 (hectares)?
9. What is the diameter (Geom1 in [XSECTIONS]) of conduit C_412 (m)?
10. What is the diameter (Geom1 in [XSECTIONS]) of conduit C_462 (m)?"
canthosimpl_10007,canthosimpl.10007.inp,https://raw.githubusercontent.com/asselapathirana/swmm2026quizes/refs/heads/main/networks/swmm_quiz_batch/variants/canthosimpl.10007.inp,canthosimpl_10007_Q1,one_file_multi_slot_cloze,10,"Download model: https://raw.githubusercontent.com/asselapathirana/swmm2026quizes/refs/heads/main/networks/swmm_quiz_batch/variants/canthosimpl.10007.inp
Run SWMM and answer all 10 parts.
1. What is the maximum water depth in conduit C_419 (m)?
2. What is the maximum water depth in conduit C_463 (m)?
3. What is the maximum water depth in conduit C_416 (m)?
4. What is the peak runoff for subcatchment S_258 (CMS)?
5. What is the peak runoff for subcatchment S_261 (CMS)?
6. What is the peak runoff for subcatchment S_287 (CMS)?
7. What is the area of subcatchment S_259 (hectares)?
8. What is the area of subcatchment S_288 (hectares)?
9. What is the diameter (Geom1 in [XSECTIONS]) of conduit C_405 (m)?
10. What is the diameter (Geom1 in [XSECTIONS]) of conduit C_411 (m)?"
canthosimpl_10008,canthosimpl.10008.inp,https://raw.githubusercontent.com/asselapathirana/swmm2026quizes/refs/heads/main/networks/swmm_quiz_batch/variants/canthosimpl.10008.inp,canthosimpl_10008_Q1,one_file_multi_slot_cloze,10,"Download model: https://raw.githubusercontent.com/asselapathirana/swmm2026quizes/refs/heads/main/networks/swmm_quiz_batch/variants/canthosimpl.10008.inp
Run SWMM and answer all 10 parts.
1. What is the maximum water depth in conduit C_457 (m)?
2. What is the maximum water depth in conduit C_413 (m)?
3. What is the maximum water depth in conduit C_405 (m)?
4. What is the peak runoff for subcatchment S_286 (CMS)?
5. What is the peak runoff for subcatchment S_295 (CMS)?
6. What is the peak runoff for subcatchment S_288 (CMS)?
7. What is the area of subcatchment S_259 (hectares)?
8. What is the area of subcatchment S_289 (hectares)?
9. What is the diameter (Geom1 in [XSECTIONS]) of conduit C_418 (m)?
10. What is the diameter (Geom1 in [XSECTIONS]) of conduit C_463 (m)?"
canthosimpl_10009,canthosimpl.10009.inp,https://raw.githubusercontent.com/asselapathirana/swmm2026quizes/refs/heads/main/networks/swmm_quiz_batch/variants/canthosimpl.10009.inp,canthosimpl_10009_Q1,one_file_multi_slot_cloze,10,"Download model: https://raw.githubusercontent.com/asselapathirana/swmm2026quizes/refs/heads/main/networks/swmm_quiz_batch/variants/canthosimpl.10009.inp
Run SWMM and answer all 10 parts.
1. What is the maximum water depth in conduit C_455 (m)?
2. What is the maximum water depth in conduit C_459 (m)?
3. What is the maximum water depth in conduit C_417 (m)?
4. What is the peak runoff for subcatchment S_259 (CMS)?
5. What is the peak runoff for subcatchment S_289 (CMS)?
6. What is the peak runoff for subcatchment S_261 (CMS)?
7. What is the area of subcatchment S_287 (hectares)?
8. What is the area of subcatchment S_257 (hectares)?
9. What is the diameter (Geom1 in [XSECTIONS]) of conduit C_412 (m)?
10. What is the diameter (Geom1 in [XSECTIONS]) of conduit C_458 (m)?"
canthosimpl_10010,canthosimpl.10010.inp,https://raw.githubusercontent.com/asselapathirana/swmm2026quizes/refs/heads/main/networks/swmm_quiz_batch/variants/canthosimpl.10010.inp,canthosimpl_10010_Q1,one_file_multi_slot_cloze,10,"Download model: https://raw.githubusercontent.com/asselapathirana/swmm2026quizes/refs/heads/main/networks/swmm_quiz_batch/variants/canthosimpl.10010.inp
Run SWMM and answer all 10 parts.
1. What is the maximum water depth in conduit C_455 (m)?
2. What is the maximum water depth in conduit C_462 (m)?
3. What is the maximum water depth in conduit C_416 (m)?
4. What is the peak runoff for subcatchment S_258 (CMS)?
5. What is the peak runoff for subcatchment S_288 (CMS)?
6. What is the peak runoff for subcatchment S_295 (CMS)?
7. What is the area of subcatchment S_295 (hectares)?
8. What is the area of subcatchment S_296 (hectares)?
9. What is the diameter (Geom1 in [XSECTIONS]) of conduit C_416 (m)?
10. What is the diameter (Geom1 in [XSECTIONS]) of conduit C_413 (m)?"
